energy/keV,photon flux/(phs/s/keV/cm2)
3.15500,247131.1634541525
3.16500,245070.2683089545
3.17500,248283.1793478408
3.18500,245522.6655278575
3.19500,238972.0351663188
3.20500,236969.1476566881
3.21500,235028.7135035634
3.22500,233039.1303469998
3.23500,231087.8525719548
3.24500,229343.9324082140
3.25500,227403.7115184553
3.26500,227333.1869637878
3.27500,329384.2845817340
3.28500,250560.0446633568
3.29500,227574.7815477812
3.30500,222317.3310233859
3.31500,300017.9518855089
3.32500,351539.5266766179
3.33500,211649.6677850017
3.34500,210619.6713464463
3.35500,255343.9684907351
3.36500,205462.8483210811
3.37500,203639.9550924021
3.38500,201831.0716263856
3.39500,200036.1158986599
3.40500,198302.8589032219
3.41500,196886.3636258749
3.42500,194781.6182516408
3.43500,193875.0520874092
3.44500,192459.5246976466
3.45500,189608.3739470893
3.46500,193363.7777746003
3.47500,201056.6631296116
3.48500,187762.2842261331
3.49500,197162.6545190382
3.50500,215918.9871100859
3.51500,217200.7819644567
3.52500,179982.2069641532
3.53500,178258.7600835538
3.54500,176913.1010534862
3.55500,175577.4982113719
3.56500,174255.8067026742
3.57500,172977.3912524116
3.58500,171848.0304901482
3.59500,170659.8746583504
3.60500,169016.9757106231
3.61500,174846.3329632845
3.62500,170330.9569283941
3.63500,165151.3475326095
3.64500,163618.3120281498
3.65500,161461.0710561172
3.66500,160069.2487097355
3.67500,180673.7052261541
3.68500,215860.4709234149
3.69500,159646.0357622337
3.70500,165716.1837600471
3.71500,153136.5652303439
3.72500,151808.9515620196
3.73500,150498.5630117228
3.74500,149195.0316988885
3.75500,147910.5628500048
3.76500,146671.3878590967
3.77500,145391.0202287910
3.78500,147796.0076126839
3.79500,149647.5437519117
3.80500,142957.3243148520
3.81500,140875.3160964143
3.82500,139400.4030616422
3.83500,139648.2971173714
3.84500,149171.1297970159
3.85500,271590.3881217901
3.86500,470499.3743210930
3.87500,274493.8048019056
3.88500,433185.7986936485
3.89500,521566.7637619990
3.90500,891667.1917619852
3.91500,128806.1270284929
3.92500,128279.0302144101
3.93500,148532.8653521576
3.94500,126823.7128020037
3.95500,126369.8473468498
3.96500,132694.1314550682
3.97500,122411.0476851810
3.98500,121373.2999435131
3.99500,120343.9186877444
4.00500,119321.0009524546
4.01500,118371.4458150883
4.02500,118032.2176216269
4.03500,116397.6687549243
4.04500,115583.6506891240
4.05500,114876.3463307235
4.06500,128096.6244169346
4.07500,119838.9766564200
4.08500,117725.0199452597
4.09500,133030.3001394704
4.10500,188732.2060149578
4.11500,132442.2592173183
4.12500,112618.2153816719
4.13500,107300.4441344313
4.14500,109889.0184667502
4.15500,109301.6829541935
4.16500,104701.1984313724
4.17500,103847.5543916713
4.18500,103000.2016212689
4.19500,102163.4628045464
4.20500,101333.2449253630
4.21500,100510.1795713795
4.22500,99697.82660032189
4.23500,98879.87956712383
4.24500,99756.66268204201
4.25500,98729.61912086274
4.26500,96552.54465578690
4.27500,95696.04616795556
4.28500,94924.24604619725
4.29500,94149.98519329214
4.30500,93422.47002973918
4.31500,92595.01637187730
4.32500,91852.29388983708
4.33500,93340.91319709690
4.34500,90366.91454525387
4.35500,89590.10273439324
4.36500,88852.64621700718
4.37500,88139.09980393091
4.38500,88652.00640173383
4.39500,87031.00796121305
4.40500,86059.28163621397
4.41500,85376.03502599202
4.42500,84762.51733403339
4.43500,84946.31754582543
4.44500,83356.02903001677
4.45500,82692.82097376697
4.46500,82489.54817616654
4.47500,81831.46664313927
4.48500,82118.92925570905
4.49500,80808.89341021005
4.50500,94556.59640799025
4.51500,93068.90397612905
4.52500,79866.31034442630
4.53500,80651.10312663973
4.54500,76960.24427710941
4.55500,76322.98873202126
4.56500,75706.20647007452
4.57500,106144.9422049516
4.58500,171357.2622702293
4.59500,73922.75055924166
4.60500,73338.45815086990
4.61500,73034.73830785690
4.62500,73637.89632168748
4.63500,71674.90546638369
4.64500,71043.23578099879
4.65500,70479.80217031480
4.66500,69920.42056358587
4.67500,69395.01345155717
4.68500,68823.59886952037
4.69500,68358.71344004736
4.70500,67847.23816752815
4.71500,67324.61578291393
4.72500,75900.32534780883
4.73500,70740.86113767936
4.74500,67209.45356524344
4.75500,65999.37261892765
4.76500,65433.53569415694
4.77500,64323.87308472370
4.78500,64218.36923680442
4.79500,63554.21379906312
4.80500,63143.99761323495
4.81500,75011.74712826031
4.82500,86455.45114841245
4.83500,61079.34985303806
4.84500,60604.27289539869
4.85500,62050.72347323943
4.86500,69580.44594834326
4.87500,59197.18171225110
4.88500,58746.99505016165
4.89500,59056.70267229856
4.90500,57963.55567007896
4.91500,57361.69774253760
4.92500,61140.78610733663
4.93500,67042.16896066503
4.94500,56033.86260841003
4.95500,55587.44496619378
4.96500,55144.01711232090
4.97500,54712.83959834053
4.98500,54281.51444049135
4.99500,53852.33832117705
5.00500,53427.32083750085
5.01500,53005.87141398752
5.02500,52587.60043487214
5.03500,52194.87594627919
5.04500,51821.79219345631
5.05500,51446.89980324053
5.06500,52209.50499294694
5.07500,54524.92176309617
5.08500,50303.06994183390
5.09500,49936.90904597070
5.10500,49567.98803000450
5.11500,49216.52180030631
5.12500,51029.76896288984
5.13500,49876.91231939301
5.14500,48120.88945962844
5.15500,47760.99522575243
5.16500,47407.48658920240
5.17500,47057.07437267876
5.18500,46709.09827999045
5.19500,46363.01695028518
5.20500,46019.67113337145
5.21500,45678.77784516736
5.22500,45340.27966861283
5.23500,45004.12328786635
5.24500,45170.05449031400
5.25500,45348.72407766496
5.26500,44009.72952778662
5.27500,43682.89931808653
5.28500,43358.36989200870
5.29500,43035.57118017079
5.30500,42711.64053200535
5.31500,42390.10909670804
5.32500,42071.00968402749
5.33500,41754.01419647746
5.34500,41439.28258158250
5.35500,41126.76562471965
5.36500,40816.49203441898
5.37500,40508.51922774057
5.38500,40203.55671549842
5.39500,39906.71051482215
5.40500,39630.46063384464
5.41500,39365.82950509863
5.42500,39010.68858355454
5.43500,38742.05056425781
5.44500,50072.83573330165
5.45500,109735.4852480638
5.46500,38086.60201355761
5.47500,37674.61000008517
5.48500,37347.82490378943
5.49500,37044.88019108766
5.50500,37058.54955260816
5.51500,36476.35286692978
5.52500,36171.38215225047
5.53500,36006.66491050191
5.54500,35781.90992998987
5.55500,35390.07540582834
5.56500,35066.32111006176
5.57500,34804.17942099259
5.58500,34524.50912372102
5.59500,34266.84596533905
5.60500,35313.82144880743
5.61500,34061.73787242496
5.62500,33571.15215673285
5.63500,33673.47345903559
5.64500,37742.92809915764
5.65500,34882.13128250481
5.66500,33431.36212150142
5.67500,32274.58676365330
5.68500,32017.56954719736
5.69500,31785.60462442519
5.70500,31529.02828896639
5.71500,31288.84247355460
5.72500,31052.58152432196
5.73500,30818.00412531559
5.74500,30585.19640212564
5.75500,30354.13989926850
5.76500,30124.27274979897
5.77500,29896.24499686169
5.78500,29669.74084662613
5.79500,29444.92639844472
5.80500,29221.75858952237
5.81500,29000.07337111598
5.82500,28779.98967856430
5.83500,28561.48290455586
5.84500,28344.51613812346
5.85500,28135.09356326531
5.86500,27916.75288860928
5.87500,27704.47791623013
5.88500,27492.68073581532
5.89500,27305.89483689849
5.90500,27174.84654906609
5.91500,26871.23948956397
5.92500,26664.64470491535
5.93500,26463.52914828696
5.94500,26267.11973997684
5.95500,26069.92904952760
5.96500,25869.75882378144
5.97500,25673.22022708610
5.98500,25478.98651523161
5.99500,25286.56554198860
6.00500,25260.65327405774
6.01500,25066.79636806895
6.02500,24876.71067881346
6.03500,24729.66937878116
6.04500,24542.02195083314
6.05500,24353.00063885892
6.06500,24132.78743826976
6.07500,23950.26017126846
6.08500,23768.03826975365
6.09500,23593.30910730999
6.10500,23529.53403341541
6.11500,23348.72621737509
6.12500,23060.59733438648
6.13500,22940.96863840857
6.14500,23184.89202365754
6.15500,25049.17148147192
6.16500,22868.34667116441
6.17500,22614.16709455777
6.18500,22030.51138987514
6.19500,21855.42246415218
6.20500,21685.36083230802
6.21500,21519.60877268111
6.22500,21360.32966910351
6.23500,21197.10429406501
6.24500,21054.15436422740
6.25500,20879.62406427552
6.26500,20715.89127761653
6.27500,20606.08228926914
6.28500,20422.87879215823
6.29500,20264.46600278251
6.30500,20112.68781909719
6.31500,19934.85130092972
6.32500,19788.39599014378
6.33500,19654.97302865417
6.34500,20381.85930763295
6.35500,20563.75990394352
6.36500,19182.32576736391
6.37500,19031.88525954371
6.38500,19070.94823824397
6.39500,19185.12555964048
6.40500,19514.75470096361
6.41500,21668.48321354462
6.42500,18756.56942236901
6.43500,18250.25652160043
6.44500,18153.02202448604
6.45500,18998.17807470313
6.46500,20417.70797080794
6.47500,25340.77378788461
6.48500,21636.92648998992
6.49500,19628.24006706205
6.50500,18649.92338884072
6.51500,17784.74096685469
6.52500,17681.22253208569
6.53500,39172.68688900386
6.54500,33388.07017864632
6.55500,41656.23377000484
6.56500,23072.68366910577
6.57500,71528.71859597885
6.58500,108282.0573816419
6.59500,61853.00845969037
6.60500,126886.4635968742
6.61500,331722.7207691066
6.62500,268792.0530773223
6.63500,457294.6981247879
6.64500,674168.3302454785
6.65500,687357.2093084099
6.66500,500862.5168838052
6.67500,375142.3754079639
6.68500,333554.5042607028
6.69500,731694.3055682918
6.70500,555998.0048896243
6.71500,14611.72098842749
6.72500,14500.08531453193
6.73500,14393.02086347135
6.74500,14289.33822876502
6.75500,14186.55719749973
6.76500,14084.53832686150
6.77500,13983.18210996049
6.78500,13882.48131821606
6.79500,13782.72201097950
6.80500,13683.38025653836
6.81500,13584.67746996971
6.82500,13486.69562578000
6.83500,13389.40601510686
6.84500,13382.72887986017
6.85500,13209.62132179450
6.86500,13102.06154430109
6.87500,13059.75733551589
6.88500,12951.16005852350
6.89500,12954.61010675809
6.90500,12802.03750316421
6.91500,14151.40797711039
6.92500,13527.95178502097
6.93500,13942.99481955968
6.94500,13363.52812536249
6.95500,13495.59194096306
6.96500,13308.93555280279
6.97500,14556.46694532853
6.98500,12056.83776156531
6.99500,11921.28708979677
7.00500,11834.90363584613
7.01500,11749.75543332231
7.02500,11664.59259267429
7.03500,11642.79017681533
7.04500,11552.50221190069
7.05500,11434.08674000860
7.06500,11356.01663929943
7.07500,11268.29596348240
7.08500,11185.95055332735
7.09500,11090.58952029881
7.10500,11009.36904252768
7.11500,10922.06084467452
7.12500,10863.95181277886
7.13500,10778.70760952362
7.14500,10696.27629864715
7.15500,10618.65416982547
7.16500,10572.66313375284
7.17500,10458.45389923750
7.18500,10425.70966732434
7.19500,10493.35854898178
7.20500,10341.94121215307
7.21500,10637.53656786691
7.22500,10226.14373411044
7.23500,10127.95412414375
7.24500,9941.729083233844
7.25500,9871.363770824379
7.26500,9800.450225725977
7.27500,9731.235879794889
7.28500,9661.852592633082
7.29500,9593.271329801830
7.30500,9525.796608550660
7.31500,9462.628369769303
7.32500,9393.581202783849
7.33500,9324.023604904560
7.34500,9257.670256764146
7.35500,9191.653347349667
7.36500,9126.323497479916
7.37500,9061.451041225275
7.38500,8996.940627285263
7.39500,8932.937815946847
7.40500,8869.347221441089
7.41500,8806.180124539893
7.42500,8743.524686524286
7.43500,8681.289657456689
7.44500,8619.407335399681
7.45500,8557.883840865350
7.46500,8496.862719050374
7.47500,8436.235802596304
7.48500,8376.495206780162
7.49500,8318.626731564696
7.50500,8259.265842396973
7.51500,8198.477135848838
7.52500,8139.498493884221
7.53500,8081.586028364414
7.54500,8024.095338042437
7.55500,8022.499507873749
7.56500,7927.493133590729
7.57500,7854.871017016322
7.58500,7814.422257043066
7.59500,7740.576060945640
7.60500,7685.031848976406
7.61500,8023.734971186991
7.62500,7798.584378868697
7.63500,7824.559363554404
7.64500,7867.110694392731
7.65500,7413.465035903877
7.66500,7360.262580989879
7.67500,7307.428932605186
7.68500,7256.007340940133
7.69500,7207.109722082285
7.70500,8644.308294805311
7.71500,13469.14843537844
7.72500,10006.02887376073
7.73500,14837.59582903393
7.74500,20088.02086340292
7.75500,20283.04766192653
7.76500,24243.95445712863
7.77500,46337.76923885515
7.78500,76790.05364392117
7.79500,29063.18861280745
7.80500,23575.96058128493
7.81500,25326.10944874723
7.82500,10535.80338263789
7.83500,6557.109767056375
7.84500,6482.133915932619
7.85500,6438.364757086265
7.86500,10979.09201684216
7.87500,49320.46689680399
7.88500,55948.18533241737
7.89500,6254.670278263145
7.90500,6211.027614939690
7.91500,6167.679673266361
7.92500,6124.621829478348
7.93500,6081.853061290348
7.94500,6039.518939250631
7.95500,5997.583042687458
7.96500,5955.272807801183
7.97500,5913.645326731895
7.98500,5872.300195885480
7.99500,5831.851038305579
8.00500,5790.607129907361
8.01500,5751.357802761830
8.02500,5709.790640849597
8.03500,5676.157607194685
8.04500,5635.064280801024
8.05500,5595.029933099286
8.06500,5559.502093829962
8.07500,5516.775900577959
8.08500,5474.484737698523
8.09500,5440.898703798816
8.10500,5409.996712204525
8.11500,5599.967636961102
8.12500,5513.901698436456
8.13500,5487.784066181076
8.14500,5430.723479481206
8.15500,5715.073689183329
8.16500,30263.36722712831
8.17500,17100.15694098376
8.18500,18286.29966091609
8.19500,5142.029764356873
8.20500,7467.121281391217
8.21500,12138.41914814605
8.22500,4977.115663668696
8.23500,4926.217507820285
8.24500,5007.929861872539
8.25500,5018.947110825237
8.26500,4821.324247561706
8.27500,4787.333510185445
8.28500,6062.438019928422
8.29500,28106.92712070655
8.30500,5910.540623194421
8.31500,4653.749504855246
8.32500,4620.915916724632
8.33500,4588.304923335873
8.34500,4555.918055500052
8.35500,4524.854965931501
8.36500,4494.555277347236
8.37500,4461.868242269808
8.38500,4430.659272536562
8.39500,4397.349494777863
8.40500,4366.501528196592
8.41500,4336.089620361850
8.42500,4306.383932318484
8.43500,4298.938924276665
8.44500,4263.100714927455
8.45500,4218.096027309087
8.46500,4201.747593998841
8.47500,4166.539478402108
8.48500,12349.83425605303
8.49500,6379.014751126225
8.50500,4074.040496451189
8.51500,4045.905651211470
8.52500,4017.953818337790
8.53500,3990.191618270329
8.54500,3962.618807495077
8.55500,3935.229759316350
8.56500,3908.021098155821
8.57500,3880.995399937691
8.58500,3854.147275835725
8.59500,3827.481333787653
8.60500,3800.996817056203
8.61500,3774.689069571295
8.62500,3748.555284162549
8.63500,3722.598805170359
8.64500,3696.811388623994
8.65500,3671.198942297839
8.66500,3645.760691575827
8.67500,3620.490479033322
8.68500,3595.390349723322
8.69500,3603.772719695407
8.70500,3586.619988066366
8.71500,3521.095043825494
8.72500,3496.663162351939
8.73500,3472.392860992884
8.74500,3448.282100988258
8.75500,3424.338566840622
8.76500,3400.553538216083
8.77500,3376.928308210297
8.78500,3355.592395975543
8.79500,3330.590074778808
8.80500,3307.469792037146
8.81500,3287.544412349355
8.82500,3261.873803353629
8.83500,3437.556681943279
8.84500,3414.136475922342
8.85500,3390.937802149115
8.86500,3375.184663792063
8.87500,3349.859578279057
8.88500,3327.621736720017
8.89500,3316.059638650615
8.90500,3302.273681146856
8.91500,3276.296873046834
8.92500,3243.509752119201
8.93500,3244.511558051838
8.94500,3227.303463887030
8.95500,3195.134112026744
8.96500,3154.685936370372
8.97500,3136.406137932795
8.98500,3113.208952764584
8.99500,3136.628509987230
9.00500,3089.463000242458
9.01500,3065.727999690801
9.02500,3075.792892722380
9.03500,3010.863126749902
9.04500,3011.649712599808
9.05500,2996.965179355932
9.06500,3232.144793987928
9.07500,4067.939602919942
9.08500,3667.453802329342
9.09500,2990.024458685721
9.10500,2970.459719865054
9.11500,3195.660509972080
9.12500,2899.125733907677
9.13500,2802.490941699135
9.14500,2780.916331413795
9.15500,2761.762625572868
9.16500,2797.047127429882
9.17500,3034.269404002715
9.18500,3469.288730974538
9.19500,2686.935559860139
9.20500,2668.546518115361
9.21500,2650.354998371980
9.22500,2632.645775195299
9.23500,2615.050517508581
9.24500,2597.569963698755
9.25500,2580.205661453041
9.26500,2562.953262734828
9.27500,2545.813506377802
9.28500,2528.785889348968
9.29500,2511.869639046841
9.30500,2495.065520851361
9.31500,2478.369955526294
9.32500,2461.783169979751
9.33500,2445.305429975472
9.34500,2428.936744738399
9.35500,2412.674009362161
9.36500,2396.518771134105
9.37500,2380.466412750734
9.38500,2364.522313651810
9.39500,2348.681100040664
9.40500,2332.943256269703
9.41500,2317.321351475558
9.42500,2301.788993014739
9.43500,2286.349228906925
9.44500,2271.029238776331
9.45500,2255.824918150686
9.46500,2244.458632309758
9.47500,2227.368130602085
9.48500,2214.954624745511
9.49500,2199.552653787227
9.50500,2185.101703345452
9.51500,2169.524514864280
9.52500,2478.864093683170
9.53500,2400.452208902062
9.54500,2326.576309943992
9.55500,2181.416396933783
9.56500,2096.606086986282
9.57500,2207.030459982851
9.58500,2130.335351579123
9.59500,2053.406123641362
9.60500,2039.138013250270
9.61500,2025.280170055731
9.62500,2011.662134252390
9.63500,1998.136002756027
9.64500,1984.697554428875
9.65500,1986.012465450046
9.66500,2172.353983604244
9.67500,2003.035146224344
9.68500,1931.822569949590
9.69500,1918.818455222946
9.70500,1905.901098574896
9.71500,1893.068574816619
9.72500,1880.321650201704
9.73500,1867.657256789144
9.74500,1855.076395786315
9.75500,1842.578049943462
9.76500,1830.163124287012
9.77500,1817.828775464320
9.78500,1805.575524092999
9.79500,1793.402854916194
9.80500,1781.311534324547
9.81500,1769.298622307743
9.82500,1757.364864620841
9.83500,1745.509756430004
9.84500,1733.733561716785
9.85500,1722.033822476752
9.86500,1710.411443583362
9.87500,1698.865269094446
9.88500,1735.717648120511
9.89500,1740.789636814245
9.90500,1664.682932156533
9.91500,1653.438218570931
9.92500,1642.268809940301
9.93500,1631.171736428669
9.94500,1620.148030846987
9.95500,1609.197050028024
9.96500,1598.318150819374
9.97500,1587.512099877240
9.98500,1576.776469375003
9.99500,1566.112519450088
10.0050,1555.517053367558
10.0150,1544.993410560140
10.0250,1534.538109419762
10.0350,1524.152054349508
10.0450,1513.834474148683
10.0550,1503.586007424360
10.0650,1493.404097977618
10.0750,1483.289750378424
10.0850,1473.242074614727
10.0950,1463.276713568376
10.1050,1453.551800022033
10.1150,1443.860613978390
10.1250,1434.387579996471
10.1350,1424.998893719361
10.1450,1415.669698369791
10.1550,1406.400742917320
10.1650,1397.191521633657
10.1750,1388.042553957337
10.1850,1378.951769534157
10.1950,1369.919431539027
10.2050,1360.945537960273
10.2150,1352.029445983189
10.2250,1343.171538110000
10.2350,1334.370154861337
10.2450,1325.625533333634
10.2550,1316.937167575582
10.2650,1308.305833134933
10.2750,1299.729460424003
10.2850,1291.208184234409
10.2950,1282.742258988872
10.3050,1274.331554632477
10.3150,1265.974411497390
10.3250,1257.671195504364
10.3350,1249.421656836992
10.3450,1241.315259708652
10.3550,1233.105912676844
10.3650,1224.992659445360
10.3750,1217.007667134557
10.3850,1209.064680189318
10.3950,1201.032978537391
10.4050,1193.243333154479
10.4150,1185.490048621101
10.4250,1177.544616367721
10.4350,1169.839184597316
10.4450,1162.247775258747
10.4550,1155.067596808593
10.4650,1148.257763507277
10.4750,1142.703632008910
10.4850,1133.286864199595
10.4950,1124.635306901358
10.5050,1117.515245496768
10.5150,1110.849218975116
10.5250,1102.679006593736
10.5350,1095.188961874984
10.5450,1087.991069455984
10.5550,1080.831436647410
10.5650,1073.725064431750
10.5750,1067.113650190023
10.5850,1060.500567936860
10.5950,1053.452247810505
10.6050,1045.757012017940
10.6150,1038.877655767860
10.6250,1032.042956162578
10.6350,1025.253039813995
10.6450,1018.506502665915
10.6550,1011.803649004414
10.6650,1005.144292370090
10.6750,998.5285666034600
10.6850,991.9551741541213
10.6950,985.4243770723973
10.7050,978.9358534621927
10.7150,972.4901144961632
10.7250,966.0854355513676
10.7350,959.7223136903236
10.7450,953.4004341293995
10.7550,947.1195390970875
10.7650,940.8800185836909
10.7750,934.6802552186475
10.7850,928.5208312812937
10.7950,922.4013608704421
10.8050,916.3220348269775
10.8150,910.2817050890264
10.8250,904.2804848024135
10.8350,898.3183153346362
10.8450,892.3953301984284
10.8550,886.5101688492217
10.8650,880.6633493314615
10.8750,874.8544217265749
10.8850,869.0837051022507
10.8950,863.3499230851895
